Structure [idcode]	label	fragment	type	risk
fleQp@DXArVcQSdTTRbbtRjSAN|uUUMUUP@@	m3	mol	mutagenic	high
fle`Q@LPQxH@bpQddebbTVVdleF\m@@ABt@@@	m3	mol	mutagenic	high
fle``@G@edbbTRbbNv`mV}PPE@QT@@@	m3	mol	mutagenic	high
fle``@O@bdsJl{zpmV\tD@@EL@@@	m3	mol	mutagenic	high
flea@@E@RfVYUV\tWIjh@`B`@@@	m3	mol	mutagenic	high
flea`@I@U{HhhddihddQZbehHJJjh`@@	m3	mol	mutagenic	high
flehPBDX}EHAJCFT}dTTRTRRJRsNFluTtuUKP@@	m3	mol	mutagenic	high
flep@@@XleLl{rkMA^RDEEAAP@@@	m3	mol	mutagenic	high
flepR@F\EhtT`qDeYeumUEIwiiZijjjABD@	m3	mol	mutagenic	high
flep`@IJR@bSLj~rnlExKTmS@AT@aJ@	m3	mol	mutagenic	high
flepr@DDhJRgQRBHRYYym[teK^fffjjjh@@	m3	mol	mutagenic	high
flepr@M^SAFB\\CprRSEQIZJKZR`qZjjjfVh@@	m3	mol	mutagenic	high
fleqQ@BTYIShiAVVdLbbbVRfTbJYpwjVjZjjj@@	m3	mol	mutagenic	high
fli@`@@HRYUoV]YjZfZjhFBPiT@	m3	mol	mutagenic	high
fliAP`BJt{p@bG``HpDYEHdeCEeEluUTuMT@@	m3	mol	mutagenic	high
flm@@@DjYee]{YhTkA|d@@@@@`@@@	m3	mol	mutagenic	high
flm@@@DjYee]YhTkA}D@@@@@H@@@	m3	mol	mutagenic	high
flm@@@DjYeeoyHQm^bd@@@B@@@@@	m3	mol	mutagenic	high
flm@@@DjYee[yHQmNBd@@@@@`@@@	m3	mol	mutagenic	high
flm@@@DjYee]yHQmNCD@@@@@H@@@	m3	mol	mutagenic	high
flm@@@DjYee^yHQmNCD@@@@@H@@@	m3	mol	mutagenic	high
flm@@@DjYee_yHQmNCD@@@@@H@@@	m3	mol	mutagenic	high
flm@@@LdbbbTRRJrYHVkAbd@@B@@@@@@	m3	mol	mutagenic	high
flm@@@LdbbbTRfvQyHQm^CD@@@BbhA@@	m3	mol	mutagenic	high
flm@@@LdbbbTRrJRxhQmNBd@@@@@`@@@	m3	mol	mutagenic	high
flm@@@LdbbbTRrVQyHQm^bd@@@@`@@@@	m3	mol	mutagenic	high
flm@@@LdbbbTRraQxhQmNbd@@@@H@@@@	m3	mol	mutagenic	high
flm@@@LdbbbTRvRQyHQmNbd@@@@H@@@@	m3	mol	mutagenic	high
flm@@@LdbbbTVRcRXhQmNbd@@@B@@@@@	m3	mol	mutagenic	high
flm@@@LdbbbbbT^VxhUc^CD@@H@bhA@@	m3	mol	mutagenic	high
flm@@@LdbbbbbT^VxhUc^CD@@H@bhB@@	m3	mol	mutagenic	high
flm@@@LdbbbbbVNVxhUc^bd@@H@@@@@@	m3	mol	mutagenic	high
flm@@@LdbbbbbqeRYhUcNbd@@H@@@@@@	m3	mol	mutagenic	high
flm@@@LdbbbbbqvRYhUcNbd@@H@@@@@@	m3	mol	mutagenic	high
flm@B@@AFRJJJIISKHdiHvoQSP@P@PA@@@@	m3	mol	mutagenic	high
flm@B@@QFQQQQQIJGKLdjqoQS@@@@@@@@@@	m3	mol	mutagenic	high
flm@`@@QRYfYUgydeNLGrV`@@@BH@@@	m3	mol	mutagenic	high
flmA@@@ILkZvmkQdeV]EL@@@@@@@@@	m3	mol	mutagenic	high
flmA@@@ILroZrnQ`iFmEKPP@@PD@@@	m3	mol	mutagenic	high
flmA@@@ILroZvjQ`iFlFKPP@@@T@@@	m3	mol	mutagenic	high
flmA@@@ILroZvlQ`iFlFKPP@@@T@@@	m3	mol	mutagenic	high
flmA@@@ILroZvnQ`iFlFKPP@@@T@@@	m3	mol	mutagenic	high
flmA@@@ILrrknjsdcV]EL@@@@@@@@@	m3	mol	mutagenic	high
flmA@@@ILrsssoQdmFmEKPP@@PD@@@	m3	mol	mutagenic	high
flmA@@@ILrszmkQdeV]EKPQ@@@D@@@	m3	mol	mutagenic	high
flmA@@@YEDeMDhmBeSbcV]EL@@@@@@@@@	m3	mol	mutagenic	high
flmA@@@YEEDeieEBdQ`iF]EKPP@D@D@@@	m3	mol	mutagenic	high
flmA@@@YEEDhihcBdqTcV]EL@@@@@@@@@	m3	mol	mutagenic	high
flmA@@@YEEDhmBeLdpTeV]EKPQ@@@D@@@	m3	mol	mutagenic	high
flmA@@@YEEDhmBeLdpTeV]EL@@@@@@@@@	m3	mol	mutagenic	high
flmA@@@YEELeDdeBepQgV}EMP@@@@@@@@	m3	mol	mutagenic	high
flmPB@JQAbIKJr|jlsfk^RFMUUTDCED@@	m3	mol	mutagenic	high
flmQb@LA`bp@cIICMDeMDUARd[S`qVjZjZfi`@@	m3	mol	mutagenic	high
flm`@@@ILkZvmkQdeV]EL@@@@@@@@@	m3	mol	mutagenic	high
flm`@@@YHhhhhdddkSdgFbEH@@DDTHD@@	m3	mol	mutagenic	high
flm`@@@YHhhhhdhb]RRkFCzH@@@@@P@@@	m3	mol	mutagenic	high
flm`@@@YHhhhhdhbmRRkFCyH@@@@A@@@@	m3	mol	mutagenic	high
flm`@@@YHhhhhdhecRRkFcyH@@@@D@@@@	m3	mol	mutagenic	high
flm`@@@YHhhhhdhecRRkFcyH@A@ALPD@@	m3	mol	mutagenic	high
flm`@@@YHhhhhdhecRRkFcyH@PAHE@P@@	m3	mol	mutagenic	high
flm`@@@YHhhhhdhecRRkFcyH@PAPD`P@@	m3	mol	mutagenic	high
flm`@@@YHhhhheED[RRgFbEH@@@D@@@@@	m3	mol	mutagenic	high
flm``@J@SdbbbbLTtQqJRl[pXtC@@@AP@@@	m3	mol	mutagenic	high
flm``@K@PdrlkZk]FJLxLTmRDDUUQP@@	m3	mol	mutagenic	high
flma@@@`rJIJZIQPiZgEZmxLX@@@BI`H@@	m3	mol	mutagenic	high
flma@@E@RfVU^_VcAZLzJZB`@H@@@@@	m3	mol	mutagenic	high
flmaA@KQ@DPdLdtTRbtJfRyIVkNbfifZiZej@@	m3	mol	mutagenic	high
flma`@E@PGHheEDdhlbj\TxwhiZ`@@`j`P@@	m3	mol	mutagenic	high
flmp@@@VbeJvsOviJBUYtT`@AEP@A@@@	m3	mol	mutagenic	high
flmq@@DVbAIee^WmZ\djshiZ`PJ`@b@@@	m3	mol	mutagenic	high
flu@B@@YbULsJjozCZOdu@@@@@@@@@	m3	mol	mutagenic	high
flu@P@@BBgHhhhhhehlVJtztV`BH@dh@@@	m3	mol	mutagenic	high
flu@P@@BLGHhhhhhhlcnJuytV`BH`Dh@@@	m3	mol	mutagenic	high
flu@P@@B|gHheIhcEDiRLu[pVfjjjjZ`@@	m3	mol	mutagenic	high
flu@P@@HL{HheEhhdhh~BlGtVijjijj`@@	m3	mol	mutagenic	high
flu@P@@\\eIfVWyWv\ehLV`hHB@h@@@	m3	mol	mutagenic	high
flu@P@@\uyIfVWnuv\dZJV`XJ@`H@@@	m3	mol	mutagenic	high
flu@`@@IRYfUV}~QmNCEh@@@@H@@@	m3	mol	mutagenic	high
fluAA@A@bDqFQQIYRZJIGTYYpXp@UPTAD@@@	m3	mol	mutagenic	high
fluAA`A@bBQCHatQFHSDYEEEMBdeEerRm^CADQPPT@@@	m3	mol	mutagenic	high
fluAP@@B\ENQQQQQQKQXlUkuhm@DPDIP@@@	m3	mol	mutagenic	high
fluAP@@B\FJSLsLoJlUkudm@DPDLP@@@	m3	mol	mutagenic	high
fluAP@@HdkrSKLvzjlxYtTmT`pQUP`@@	m3	mol	mutagenic	high
fluA`@@FmdbfbTTRbawEZ|EM@@@TA@@@@	m3	mol	mutagenic	high
fluA`@@LbdsLn}kkNRuxKPTD@AT@@@	m3	mol	mutagenic	high
fluH@D@\|DDiSLrno}SdcZ\@@@AET@@@	m3	mol	mutagenic	high
fluHP@CNbdDeZrQQQQIJJkHeKNCFjjj`PJ`@@	m3	mol	mutagenic	high
fluHP@DLtdGGArJJIQRzJJY`iJbejijjYjh@@	m3	mol	mutagenic	high
fluHP@DTuDC@irJIJHqZIJJgIJ}Ejfjjifh@@	m3	mol	mutagenic	high
fluH`@DXYh@lbbRbTVaRRisQoAZZfd@Jh@@	m3	mol	mutagenic	high
fluH`@DXlDGlbbbLTRvTtISQhiZj@`ijb@@	m3	mol	mutagenic	high
fluHb@BJtFW`QFQQQIZKQFZLDZtTpPPuTuE@@@	m3	mol	mutagenic	high
fluHb@LLxxLPABTnrjkmxHJQkTlu@EMP@@@	m3	mol	mutagenic	high
fluI@@DRUXFQQZJIPiIIRtZpXmPDPuKE@@@	m3	mol	mutagenic	high
fluI@@DTXDFQQZIQKQQH|DYtTmSU@A@@@@@	m3	mol	mutagenic	high
fluI@@D\tXBSOLkKzrthpXmPPIUKE@@@	m3	mol	mutagenic	high
fluIP@DTxHFgQSdTRbRJbTVSNBe[sSMUUUTp@@	m3	mol	mutagenic	high
fluIP@LF]DDeZSdbbbbRTUVQJV\FMUUU@`U@@@	m3	mol	mutagenic	high
fluI`@FNbdAMILs[[N}SagAcUUUPHEP@@	m3	mol	mutagenic	high
fluPB@AJADYEDeMDeELcSfgQS@DMPT@P@@	m3	mol	mutagenic	high
fluPP@B\@bslbfbTTRTrJDkQhiZjfjX@`@@	m3	mol	mutagenic	high
fluPP@DTAsUlbbTTTlTvRXHshiZjZfX@`@@	m3	mol	mutagenic	high
fluPR@JLHkU`RBSL|kMjlyxLTtmUMUUU@@@	m3	mol	mutagenic	high
fluP`@DIAEIeUYU}jLehufiZYfij`@@	m3	mol	mutagenic	high
fluP`@DX@qIeVyeUrT]DJVjZ@@@H@@@	m3	mol	mutagenic	high
fluQB@AJbBHRYVyV]VgMNBf@HZ``P`@@	m3	mol	mutagenic	high
fluXP@L\MZJPRUkIEEEDdeFdbTLxLZjjjP@j@@@	m3	mol	mutagenic	high
flu``@C@PdwLl|{XmNbEKPP@@@@@@@	m3	mol	mutagenic	high
flu`a@BJ|CDebYEEEheDXdlpQkQSAADtB@P@@	m3	mol	mutagenic	high
flua`@A@\EIfYfWgvJuztV`BHBDh@@@	m3	mol	mutagenic	high
flua`@O@TyIfYfUYvBtFrV`BHAbH@@@	m3	mol	mutagenic	high
fluab@FF|D@QdbbTVbtjfQJBUjuRsUMMTh@@	m3	mol	mutagenic	high
fluhP@DTxIPCQSdTRbbUTRRSNRT{sUKMUUUP@@	m3	mol	mutagenic	high
fluhP@LF]EHIJudbbbbRTUVQJV\FMUUU@`U@@@	m3	mol	mutagenic	high
fluhP@NFmEHIJudbbbbRRcRQJF\FMUSUP@U@@@	m3	mol	mutagenic	high
fluib@DTxIQhi@DYEDhheUDddsdeN|uRsUUUT@@	m3	mol	mutagenic	high
fluqB@AJMDFHdrmrlzmNZ\EL@PuA@a@@@	m3	mol	mutagenic	high
fluq`@LLxAGdfWeUWnEHuhiZij@IjB@@	m3	mol	mutagenic	high
flux@@@XIRRmYHhhldiUDdsdcQRA@AQ@@@@@	m3	mol	mutagenic	high
flyAP@@HLxJSJkZrkzluT`DUT@@@	m3	mol	mutagenic	high
flyP`@EN@cHheDdehbdiZZ``bjj@@@	m3	mol	mutagenic	high
flyPa@LR``@PHHrRPjJJKHiXsejAbHj`@@	m3	mol	mutagenic	high
flyQ`@D^@jrSOJzmkBdu@AUUT@@@	m3	mol	mutagenic	high
flyQ`@D^@jrS[JzmkBdu@AUUT@@@	m3	mol	mutagenic	high
flyQa@ANQ``@bGadTbRTRRLVegMUPTAU@@@	m3	mol	mutagenic	high
flyQa@LR`cp@`PQddaTTRrrRVkKTCAEU@@@	m3	mol	mutagenic	high
flyQb@LR``P@cIIBhhhlbecNVhFHbj@@@	m3	mol	mutagenic	high
fly`R@IB]zH@aJYYY]gcAjhJ`fF@@@	m3	mol	mutagenic	high
fly`R@JRU[p@cIDeDeEECEXijji`Z@@@@	m3	mol	mutagenic	high
fly`R@LPQEH@cIICEDddeUC^VjB`hf@@@	m3	mol	mutagenic	high
flyqa@AFlcA@ADOCHiDdhThmLmFZj`@jj@@@	m3	mol	mutagenic	high
fl}@@@LdbbbTVtQVXhQmV]zJZPZHPPJH@@	m3	mol	mutagenic	high
fl}@B@@AFRJJIIJISXxhKRoF]EM@@@@@@@@@@	m3	mol	mutagenic	high
fl}A@@@ILrjvjvQ`mJLxLTmA@@@@@@@@	m3	mol	mutagenic	high
fl}A@@@IRlkjmkAENRUYtTuPH@@@T@@@	m3	mol	mutagenic	high
fl}A@@@IRlkvjkAENRUYtTuPP@@@T@@@	m3	mol	mutagenic	high
fl}A@@@IRlkvmkAENRUYtTuPP@@@T@@@	m3	mol	mutagenic	high
fl}A@@@IRlrjkoAENJl[tTt@@@@@@@@@	m3	mol	mutagenic	high
fl}A@@@YHdhdmMDhcAENRt{tTt@@@@@@@@@	m3	mol	mutagenic	high
fl}A@@@YHdhheDddcAENJ]ZHTt@@@@@@@@@	m3	mol	mutagenic	high
fl}A@@@YHhhhddjdeAGERuYtTuUAL@@U@@@	m3	mol	mutagenic	high
fl}`@@@IRlrjkoAENJl[tTuP@@@@T@@@	m3	mol	mutagenic	high
fl}a@@A@rQIQJKJZEJBF\UXshij``@@@h@@@	m3	mol	mutagenic	high
fl}a@@E@ReYWm[VBJ\ejshij``@@@h@@@	m3	mol	mutagenic	high
fl}a@@M@ReYYy}VBF\TZshij``@@@h@@@	m3	mol	mutagenic	high
fl}aA@HF@DIdLdRbbRRtJR``cIFuXLZjjZjeif@@	m3	mol	mutagenic	high
foA@@@DjYeUlVeN`@`B`@@@	m3	mol	mutagenic	high
foA@C@@QAHadQdTTTqTRWAV]ADD@@@@@	m3	mol	mutagenic	high
foA@C@@QBhatQdTTRbRQsIFmA@A@P@@@	m3	mol	mutagenic	high
foA@P@@HTYIe[VWhrVfi@Hj`@@	m3	mol	mutagenic	high
foAA@@@ILkjrmFV]@AL@@@ar@	m3	mol	mutagenic	high
foAAB@A@bDfUmyVcKN`@j@@@@@	m3	mol	mutagenic	high
foAAP@@HiIRSKSrvSeNMUTuUP@@	m3	mol	mutagenic	high
foAA`@@HXdrl{ZlyYsUUP@P@@	m3	mol	mutagenic	high
foAAa@JJtBHxDYDhhmEDcpUgUKPJA@@@	m3	mol	mutagenic	high
foAHB@MFlx@QdbdRjbbcNZmUUTmU@@@	m3	mol	mutagenic	high
foAH`@D\DXDdfVYe_ScVZ`ZBP`@@	m3	mol	mutagenic	high
foAH`BDRLx@cR{dfYeW\cMVZhFAF@@@	m3	mol	mutagenic	high
foAHb@DXx[U`QFQQJIZJHdiHtuUTsL@@	m3	mol	mutagenic	high
foAI@@MFlxFRJQJjJJLyjuUURuT@@	m3	mol	mutagenic	high
foAP@@@NRYWVUzLMZ@B`@`@@	m3	mol	mutagenic	high
foAPB@KN@DISLjohmJMP@@AP@@@	m3	mol	mutagenic	high
foAPB`ARADDbCREiAt`dsNkmLyITDASUD@@	m3	mol	mutagenic	high
foAPR@JLIIU`RBSLzmlsagTmTuUP@@	m3	mol	mutagenic	high
foAP`@BZ@aInvYWejsfjiB@`@@	m3	mol	mutagenic	high
foAP`@CNAQJYW]YqS`jB@jj`@@	m3	mol	mutagenic	high
foAPa@LDlx@P`HRYYeUuVLyjjjjj@@	m3	mol	mutagenic	high
foAQA@BLD@HpDISOmrnJV]TuL@D@@@	m3	mol	mutagenic	high
foAX@`LTXKU`AB@aPPxHRYWUeRTMYjjjZV@@	m3	mol	mutagenic	high
foA`@@@ILkjrmFV]@AT@@@@@	m3	mol	mutagenic	high
foA`@@@IML|{wEFmUSA@R@@@	m3	mol	mutagenic	high
foA`R@EPQap@cIIKEDhliZMYZ@@@`@@	m3	mol	mutagenic	high
foA``@M@PdvkLkruYsUTa@P@@	m3	mol	mutagenic	high
foAaB@GDADILroZ{AFmAA@@P@@@	m3	mol	mutagenic	high
foAaB@GLADILk_J}NFm@DP@P@@@	m3	mol	mutagenic	high
foAaB@G\ADILkkJ}FFm@AP@P@@@	m3	mol	mutagenic	high
foAaB@KN@DISLjoxmJMP@@AP@@@	m3	mol	mutagenic	high
foAaP@D@hIVlbbTbfbjIrgFjjfjh@@	m3	mol	mutagenic	high
foAa`@M@PQInvYWejsffiB@`@@	m3	mol	mutagenic	high
foAh`@JBUYpBILoLkleFmUU@`T@@@	m3	mol	mutagenic	high
foAp@@@P\eKLjorMjsP@@A@B@H	m3	mol	mutagenic	high
foAp`@BZLABS]lroKUgMURDA@@@	m3	mol	mutagenic	high
foApb@HDihp@cIDhideDRLUZi``Xh@@	m3	mol	mutagenic	high
foAqB@JLtPFHdsM|klEYuKTa@P@@	m3	mol	mutagenic	high
foAq`@DXxBSlbbTTtJVhKQffjjjX@@	m3	mol	mutagenic	high
foI@@@LdbbRbaQXKbiZlx@@@`@`@@	m3	mol	mutagenic	high
foIA@@@IRlkZ|DTyKUgUSUUJs@@@	m3	mol	mutagenic	high
foIA@@@IRlkjlDTyIUgUPP@AP@@@	m3	mol	mutagenic	high
foIA@@@IRlkvlDTyIUgT@@@@@@@@	m3	mol	mutagenic	high
foIA@@@IRlrj|DTxjqgUP@@AP@@@	m3	mol	mutagenic	high
foI`@@@IRlrj|DTxjqgUP@@AP@@@	m3	mol	mutagenic	high
foQ@@@DjYUU}`nRlx@@@`@@@@	m3	mol	mutagenic	high
foQ@@@LdbbbRQrYHRkN@@`@@@@@	m3	mol	mutagenic	high
foQ@@@LdbbbTRQYHUmN@@@B@@@@	m3	mol	mutagenic	high
foQ@@@LdbbbTReyHQmN@@@@`@@@	m3	mol	mutagenic	high
foQ@B@@QBSJvjkQdeV]@@@@@@@@	m3	mol	mutagenic	high
foQ@B@@QBSLljzsdcV]@@@@@@@@	m3	mol	mutagenic	high
foQ@B@@QBSLsJ~pRkF]@@@@@@@@	m3	mol	mutagenic	high
foQ@B@@RBSLljzsdcV]@@@@@@@@	m3	mol	mutagenic	high
foQ@B@@XbSLljzsdcV]@@@@@@@@	m3	mol	mutagenic	high
foQ@`@@VRfYeUzBd[Sj@B@H`@@	m3	mol	mutagenic	high
foQA@@@ILrrkkNRMYt@@@@@@@@	m3	mol	mutagenic	high
foQA@@@YEEEEDdbrRkF\t@D@D@@@	m3	mol	mutagenic	high
foQA`@@HldrlkZtXhugMRDDSD@@	m3	mol	mutagenic	high
foQA`@@HldrmlrtYKUgMR@QSD@@	m3	mol	mutagenic	high
foQH@@@BMYJUme]IRRmF@@HFhH@@	m3	mol	mutagenic	high
foQH@@@BMYJYYo]irRmF@@HFhH@@	m3	mol	mutagenic	high
foQH@@@RMYJUm[UIPRmF@@BFhH@@	m3	mol	mutagenic	high
foQH@@@RM[IEDhmBdj\DkQ`@@ajB@@	m3	mol	mutagenic	high
foQH@@@Rl{IEDhmCDj\DkU`@@bjA@@	m3	mol	mutagenic	high
foQH@@@TUkIEEEhddV\Djs`JBjeF@@	m3	mol	mutagenic	high
foQH@@@TuYJYfU}YrQeZ@H@XhH@@	m3	mol	mutagenic	high
foQH@@@XD[IEDhiedZRXKU``jIfF@@	m3	mol	mutagenic	high
foQH@@@XDiJYYe_iI`cNBBhidX@@	m3	mol	mutagenic	high
foQH@@@XhiJYmg]YpRcVBHJiXX@@	m3	mol	mutagenic	high
foQH@@@XhiJYmg_YpRcVBHJiXX@@	m3	mol	mutagenic	high
foQH@@@XhiJYmggYrRkNBHJfhT@@	m3	mol	mutagenic	high
foQH@@@XhkIEELhddV\Djs`bBjeF@@	m3	mol	mutagenic	high
foQH@@@XikIEEMEDUf\ejs`bBjeF@@	m3	mol	mutagenic	high
foQI@@HTEHBRrjjjsdeV]P@TtiP@@	m3	mol	mutagenic	high
foQP@@@FRfYeUz\e[SjdF`hd@@	m3	mol	mutagenic	high
foQP@@@NrQQJIIYFcAZMX@@@@`@@@	m3	mol	mutagenic	high
foQP@@@NrQQQQIHz`iFuX@@@@`@@@	m3	mol	mutagenic	high
foQP@@@RrQQJIJUJgAJlx@@H@@@@@	m3	mol	mutagenic	high
foQP@@@TRfY^]|TEjsiB`hjb@@	m3	mol	mutagenic	high
foQP@@@TrQQQQPqUdeZlx@`@@@@@@	m3	mol	mutagenic	high
foQP@@@VRfYe]Z\d[S`@@@H@@@	m3	mol	mutagenic	high
foQP@@@XRf[WmZ\djs``@@@@@@	m3	mol	mutagenic	high
foQP@@@XRf[eUz\UXs``@@@@@@	m3	mol	mutagenic	high
foQQ@BHB@ChRdsLrolDjqgP@@@@@@@	m3	mol	mutagenic	high
foQ`@@@ILkZjmFRUYt@@@@@@@@	m3	mol	mutagenic	high
foQ`@@@IRlrj|DJlYuT@@@P@@@	m3	mol	mutagenic	high
foQ`@@@ISKON}NBeYp@@A@@@@@	m3	mol	mutagenic	high
foQ`@@@ISLro}NRMjp@@@A@@@@	m3	mol	mutagenic	high
foQ`@@@ITsJkyFJlYuPA@@P@@@	m3	mol	mutagenic	high
foQ`@@@ITs\k{AJlYuT`tDR@@@	m3	mol	mutagenic	high
foQ`@@@YHheEMDcPTeF\@@@A@@@@	m3	mol	mutagenic	high
foQ`A@F@bIABSJvmkSdeV]@DT@A@@@	m3	mol	mutagenic	high
foQ``@B@mdTTTTRQSEBdYsTmUSU@@@	m3	mol	mutagenic	high
foQ``@M@HdsMjoLDhugMLBDUD@@	m3	mol	mutagenic	high
foQa@@A@RYfYWvBUXsf`B@@`@@	m3	mol	mutagenic	high
foQh@@@LDZvRJIQPiYTYIVc@@DCTD@@	m3	mol	mutagenic	high
foQh@@@TejrTsLkzsdcJt@P@qPP@@	m3	mol	mutagenic	high
foQh@@@TtZvRJJJIIELEHrm@D@LTD@@	m3	mol	mutagenic	high
foQh@@@TyjvRJJJIIELEHrm@D@LTD@@	m3	mol	mutagenic	high
foQh@@@XijvRJJIQIELEHrm@D@LTD@@	m3	mol	mutagenic	high
foQp@@@XDeLvzjtyIUgAAEP@@@@	m3	mol	mutagenic	high
foQp@@@XDeLzmjtXJQkA@T@DP@@	m3	mol	mutagenic	high
foQp@@@XDeLzmktXJQkA@T@DP@@	m3	mol	mutagenic	high
foQp@@@XHeLsnjxiIUgMPP@A@@@	m3	mol	mutagenic	high
foQp@@@XdeL|oZtYIUgA@U@@P@@	m3	mol	mutagenic	high
foQp@@@XidbbfbQRSNRUYpQAT@@@@@	m3	mol	mutagenic	high
gBQ@@eJuT@@	m3	mol	mutagenic	high
gBX@@eLUT@@	m3	mol	mutagenic	high
gBXHHHaIejh@	m3	mol	mutagenic	high
gC`@Die@@	m3	mol	mutagenic	high
gC`@Dkz@@	m3	mol	mutagenic	high
gC`DADHHRVh@	m3	mol	mutagenic	high
gC`DADZHRVXRH	m3	mol	mutagenic	high
gC`DADZHRVXRP	m3	mol	mutagenic	high
gC`DADZHRVh@	m3	mol	mutagenic	high
gC`DADZHRVx@	m3	mol	mutagenic	high
gC`DAHJPRZd@	m3	mol	mutagenic	high
gC`DAHJPRZh@	m3	mol	mutagenic	high
gC`DAHZPRVh@	m3	mol	mutagenic	high
gC`DAVRDRZh@	m3	mol	mutagenic	high
gC`DAbKDRZh@	m3	mol	mutagenic	high
gC`DAbZHRVh@	m3	mol	mutagenic	high
gC`DAb[DRVx@	m3	mol	mutagenic	high
gC`HADIKLIH	m3	mol	mutagenic	high
gC`HADIKR@@	m3	mol	mutagenic	high
gC`HAbIKJ@@	m3	mol	mutagenic	high
gC`HAbIKLIH	m3	mol	mutagenic	high
gC`HAbIML@@	m3	mol	mutagenic	high
gC`LAHJPt`duP@	m3	mol	mutagenic	high
gC`LAVJluXduP@	m3	mol	mutagenic	high
gC`LAbKDvHduP@	m3	mol	mutagenic	high
gC``@dfZ@@	m3	mol	mutagenic	high
gC``AdeY@@	m3	mol	mutagenic	high
gC``AdeZ@@	m3	mol	mutagenic	high
gC``Adej@@	m3	mol	mutagenic	high
gC``Adij@@	m3	mol	mutagenic	high
gCa@@dkH@	m3	mol	mutagenic	high
gCa@@dkP@	m3	mol	mutagenic	high
gCa@@dkX@	m3	mol	mutagenic	high
gCa@@dmH@	m3	mol	mutagenic	high
gCa@@dmP@	m3	mol	mutagenic	high
gCa@@dmX@	m3	mol	mutagenic	high
gCa@@duP@	m3	mol	mutagenic	high
gCaHDHaIZ`@	m3	mol	mutagenic	high
gCaHH@bNt@@	m3	mol	mutagenic	high
gCaHL@aIZ`@	m3	mol	mutagenic	high
gCaHLHaIZP@	m3	mol	mutagenic	high
gCaHLHaIZ`@	m3	mol	mutagenic	high
gCaHLLQIZP@	m3	mol	mutagenic	high
gCaHLLQIZ`@	m3	mol	mutagenic	high
gCah@mJAIj`@	m3	mol	mutagenic	high
gCahHl@bNt@@	m3	mol	mutagenic	high
gCahHlGBNt@@	m3	mol	mutagenic	high
gCahHlHRNj@@	m3	mol	mutagenic	high
gCahhlAa]ncm@@	m3	mol	mutagenic	high
gCd@Adej@@	m3	mol	mutagenic	high
gCdDI`BHDRZh@	m3	mol	mutagenic	high
gCe@E`dmH@	m3	mol	mutagenic	high
gCe@E`dsP@	m3	mol	mutagenic	high
gCe@I`dlpd`	m3	mol	mutagenic	high
gCh@@dmH@	m3	mol	mutagenic	high
gCh@@doH@	m3	mol	mutagenic	high
gCh@@doP@	m3	mol	mutagenic	high
gChHD@aIU`@	m3	mol	mutagenic	high
gChHLHaIZp@	m3	mol	mutagenic	high
gChHLLQIZ`@	m3	mol	mutagenic	high
gChHLLQIZp@	m3	mol	mutagenic	high
gCh`LDdsP@	m3	mol	mutagenic	high
gChhMDHbNl@@	m3	mol	mutagenic	high
gCi@DDeV@@	m3	mol	mutagenic	high
gCi@DDeZ@@	m3	mol	mutagenic	high
gCi@DDfZ@@	m3	mol	mutagenic	high
gCi@HDefDd@	m3	mol	mutagenic	high
gCi@LDej@@	m3	mol	mutagenic	high
gCiHEAxIVt@@	m3	mol	mutagenic	high
gFp@DiTt@@@	m3	mol	mutagenic	high
gFp@DiTvjh@	m3	mol	mutagenic	high
gFpD@DTHReSZj`@	m3	mol	mutagenic	high
gFpD@DXHReSZj`@	m3	mol	mutagenic	high
gFp`@dfTujX@	m3	mol	mutagenic	high
gFp`@dfTujh@	m3	mol	mutagenic	high
gFp`@df_Ejh@	m3	mol	mutagenic	high
gFp`ATiTvjh@	m3	mol	mutagenic	high
gFp`AdiTvjh@	m3	mol	mutagenic	high
gFq@@drfmM@@	m3	mol	mutagenic	high
gFq@@eLqUU@@	m3	mol	mutagenic	high
gFq@@eLzts@@	m3	mol	mutagenic	high
gFqDDHbqBSZmUT@@	m3	mol	mutagenic	high
gFqDLLRqBRwcUT@@	m3	mol	mutagenic	high
gFq`AbeJfuU@@	m3	mol	mutagenic	high
gFr@ACTiTt@@@	m3	mol	mutagenic	high
gFr@ACTi[FZd@	m3	mol	mutagenic	high
gFt@ATiTt@@@	m3	mol	mutagenic	high
gFt@AdiTt@@@	m3	mol	mutagenic	high
gFtHCQbILimKP@	m3	mol	mutagenic	high
gFtHE`DILikUP@	m3	mol	mutagenic	high
gFtHLPDISNmLp@	m3	mol	mutagenic	high
gFu@E`drfmT`@	m3	mol	mutagenic	high
gFx@@eJf`@@@	m3	mol	mutagenic	high
gFx@@eJfuU@@	m3	mol	mutagenic	high
gFx@@eRfuK@@	m3	mol	mutagenic	high
gFxHJ@aJ]bjn@@	m3	mol	mutagenic	high
gFxHL@aJYujj@@	m3	mol	mutagenic	high
gFx`HJeJxtm@@	m3	mol	mutagenic	high
gFy@DDfTujh@	m3	mol	mutagenic	high
gFy@JDiTvjh@	m3	mol	mutagenic	high
gFy@LDeXvjh@	m3	mol	mutagenic	high
gF|@AbeJf`@@@	m3	mol	mutagenic	high
gF|HLZ@aJYuif@@	m3	mol	mutagenic	high
gGP@DiVj`@	m3	mol	mutagenic	high
gGP@Di]jQ@`	m3	mol	mutagenic	high
gGPBABRHTQXcIHUTpf`	m3	mol	mutagenic	high
