Structure [idcode]	label	fragment	type	risk
didH@@RUe^Fh@@@@	r3	mol	reproductive	high
didH@@RYVZZ@B`@@	r3	mol	reproductive	high
didH@@RYWZZ@BP@@	r3	mol	reproductive	high
didH@@RYm^Eh@@@@	r3	mol	reproductive	high
didHPNBHPHRYWbjfid@@	r3	mol	reproductive	high
didL@@IdfYoa`b@@@	r3	mol	reproductive	high
didL@@XTfUfn`BH@@	r3	mol	reproductive	high
die@@@EIfW[hBB@@	r3	mol	reproductive	high
die@`BDHaIf][hHB@@	r3	mol	reproductive	high
die@`Dh@aIefkfif`@	r3	mol	reproductive	high
dieD@DpFRYVZyjfd@@	r3	mol	reproductive	high
dieD`JXaBPRYgvzejX@@	r3	mol	reproductive	high
dieD`LIN@HRZufFZid@@	r3	mol	reproductive	high
dieH`DpPBDfYeaZjj@@	r3	mol	reproductive	high
dif@@@rQQIFfZjj@@	r3	mol	reproductive	high
dif@@@rQQIFfjjj@@	r3	mol	reproductive	high
dif@`D@HRUe^EX@@@@	r3	mol	reproductive	high
difDAHAHeNR[e^Eh@@@@	r3	mol	reproductive	high
difDPJHPqFqLbbbekjVi`@	r3	mol	reproductive	high
dig@@@xTjU^njjj@@	r3	mol	reproductive	high
digDaLHVx@cI{dieljjUj@@	r3	mol	reproductive	high
digH@DK`R[e^Eh@@@@	r3	mol	reproductive	high
dkL@`@SDjUUUjjjj@@	r3	mol	reproductive	high
dkLD@@QIe[WVijj`@	r3	mol	reproductive	high
dkLFPHSAWPBIBLddNRRdVjjV@@	r3	mol	reproductive	high
dkLF`DkaTpBLbdtVafjjji@@	r3	mol	reproductive	high
dkLH@@RUUUVjnzl@@	r3	mol	reproductive	high
dkLJ@@imMJUUUZjjj`@	r3	mol	reproductive	high
dkLP@@anF]OIDhhjeIjYi`RKh	r3	mol	reproductive	high
dkLP@@bfF]OIDeDTeIiii`RKh	r3	mol	reproductive	high
dkMFPBNDpUt@bPcIICddiEjje`@	r3	mol	reproductive	high
dkNLPFi]@HLHrJQRjJJjZih@@	r3	mol	reproductive	high
dkNLpFjUBPRPrPrJPsISJjZfd@@	r3	mol	reproductive	high
dk\@`@bDfYYwZ]NB@@@@@	r3	mol	reproductive	high
dk\D@@wHhhhhbfESZAhD`@@	r3	mol	reproductive	high
dk\D`ELLSHhdidhZZ]`@iYH@@	r3	mol	reproductive	high
dk\H@@RYeg]itxH@@@@@	r3	mol	reproductive	high
dk\``LyS@HRfUeTUtzBHba@@	r3	mol	reproductive	high
dk\d@Dq]@\bbbbfJZ]MjjZe`@	r3	mol	reproductive	high
dk\d@DrUCdfY[uXUujijY`@	r3	mol	reproductive	high
dk]@@@uJYU_lkihDHj`@@	r3	mol	reproductive	high
dk]D@DxJRYY{Tjtvfh@H@@	r3	mol	reproductive	high
dk]DAHDMF]yIYeg^ESh@@H@@@	r3	mol	reproductive	high
dk]H@ALLbbRfTJiaf@Bfh`@	r3	mol	reproductive	high
dk]H@DHDfYyWImMjhHA@@	r3	mol	reproductive	high
dk^@@@RfYU\]Tz@@@@@@	r3	mol	reproductive	high
dk^@@@Ri_YVftzjX@H@@	r3	mol	reproductive	high
dk^@PDCDNHRVf]}aWZjB@h@@	r3	mol	reproductive	high
dk^D@A@|bbRfTJiaf@Bfh`@	r3	mol	reproductive	high
dk^D@IADfvYWz]MjdHB@@	r3	mol	reproductive	high
dk^FAHALzSb\{HhmEDdQe]Zjjjh@@	r3	mol	reproductive	high
dk^HPNHJrXaIf^UvGS``B@@@@	r3	mol	reproductive	high
dk^L@LANrJIQQEJatvjf@@@@	r3	mol	reproductive	high
dklB@@PcR[me]]Zj@B@@	r3	mol	reproductive	high
dklB@@QSrJYJIJF]ZX@b@cH	r3	mol	reproductive	high
dklB@@QmR[fUxUZBBF@@	r3	mol	reproductive	high
dklD@@QInUvnEh@Jh@@	r3	mol	reproductive	high
dklD@@eJ[Vvfz`@jh@@	r3	mol	reproductive	high
dklDpBhJqJs@cHiiCDeeviX@H@@	r3	mol	reproductive	high
dklH@@RYfVya`Hbj@@	r3	mol	reproductive	high
dklH@@rJJJQJy]ZBhB@@	r3	mol	reproductive	high
dkl`@@SFRYvUWSZjjj`@	r3	mol	reproductive	high
dkl`@@kaRe[vTf@HZj@ah	r3	mol	reproductive	high
dkm@`ATHaIe[ujZ@BfhBA`	r3	mol	reproductive	high
dkm@`MLHcHhhdcDfz@`Z|@@	r3	mol	reproductive	high
dkmB@hHD[heNJ^{HihhhTmMjf@@@@	r3	mol	reproductive	high
